,Неправильный вариант,Правильный вариант
0,"* Причины, на которых герцог Бассано основывал свой отказ выдать сии паспорты, никогда не могли бы заставить меня предполагать, чтобы поступок моего посла послужил поводом к нападению.","* Причины, на которых герцог Бассано основывал свой отказ выдать сии паспорты, никогда не могли бы заставить меня предполагать, чтобы поступок моего посла послужил поводом к нападению."
1,"1812 г. А. Б. Куракин (1752–1818), будучи русским послом в Париже, после неудачных переговоров о выводе французских войск из Пруссии 29 апреля (11 мая) 1812 г. потребовал выдать паспорты ему и всему персоналу посольства для возвращения в Россию.","1812 г. А. Б. Куракин (1752–1818), будучи русским послом в Париже, после неудачных переговоров о выводе французских войск из Пруссии 29 апреля (11 мая) 1812 г. потребовал выдать паспорты ему и всему персоналу посольства для возвращения в Россию."
2,"«А па-азвольте узнать, – заговорил он надменным голосом, – по какому праву вы здесь а-ахотитесь, мюлсвый сдарь?» Незнакомец говорил необыкновенно быстро, отрывочно и в нос.","«А па-азвольте узнать, – заговорил он надменным голосом, – по какому праву вы здесь а-ахотитесь, мюлсвый сдарь?» Незнакомец говорил необыкновенно быстро, отрывочно и в нос."
3,А между тем для художника слова эти не имеют никакого смысла и даже не затрогивают самого события.,А между тем для художника слова эти не имеют никакого смысла и даже не затрагивают самого события.
4,"Без сомнения, он понимал, что, отрицая нравственную ответственность личности, он тем самым отрицает и свободу ее; но он верил всем существом своим (гораздо слепее Герцена, который, кажется, под конец усумнился), что социализм не только не разрушает свободу личности, а, напротив, восстановляет ее в неслыханном величии, но на новых и уже адамантовых основаниях.","Без сомнения, он понимал, что, отрицая нравственную ответственность личности, он тем самым отрицает и свободу её; но он верил всем существом своим (гораздо слепее Герцена, который, кажется, под конец усумнился), что социализм не только не разрушает свободу личности, а, напротив, восстановляет её в неслыханном величии, но на новых и уже адамантовых основаниях."
5,"В руки ему вложили цветов, да и весь гроб был уже убран снаружи и снутри цветами, присланными чем свет от Лизы Хохлаковой.","В руки ему вложили цветов, да и весь гроб был уже убран снаружи и снутри цветами, присланными чем свет от Лизы Хохлаковой."
6,"Во-вторых, он уже никогда не позволит себе увлечься гадкою страстью, воспоминанье о которой так мучало его, когда он собирался сделать предложение.","Во-вторых, он уже никогда не позволит себе увлечься гадкою страстью, воспоминанье о которой так мучало его, когда он собирался сделать предложение."
7,"Впрочем, не поручусь; неисследима глубина женского сердца даже и до сегодня!","Впрочем, не поручусь; неисследима глубина женского сердца даже и до сегодня!"
8,"Всем откудова-то было достоверно известно с подробностями, что новая губернаторша и Варвара Петровна уже встречались некогда в свете и расстались враждебно, так что одно уже напоминание о госпоже фон Лембке производит будто бы на Варвару Петровну впечатление болезненное.","Всем откудова-то было достоверно известно с подробностями, что новая губернаторша и Варвара Петровна уже встречались некогда в свете и расстались враждебно, так что одно уже напоминание о госпоже фон Лембке производит будто бы на Варвару Петровну впечатление болезненное."
9,Говорят мне: написал на вас un folliculaire пашквиль.,Говорят мне: написал на вас un folliculaire пашквиль.
